alg_name,trial_num,runtime_mircosecs,result,gamma,max_iters,ds_path
Spectral Count,2,12806511,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,3,11327138,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,4,10899053,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,5,10536826,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,6,11014826,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,7,8095148,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,8,3578534,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,9,3030867,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,0,822865,13547574,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,1,685318,12606787,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,2,373733,7562452,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,3,629522,8856857,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,4,591036,7972588,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,5,573734,6412124,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,6,576499,11347571,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,7,469778,7378813,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,8,662315,11594944,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleR,9,538465,7536757,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,0,660000,9681523,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,1,822811,8022375,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,2,401234,9756683,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,3,649464,11288281,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,4,528629,9417904,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,5,563751,9747121,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,6,562979,10155186,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,7,494408,10665933,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,8,581784,9825253,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
TraceTriangleN,9,527756,11193814,1.0,,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,0,10091286,54558716,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,1,8319601,60239663,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,2,8154836,44613166,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,3,6951488,56775111,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,4,7472191,11109061,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,5,6229443,53033328,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,6,6756508,59818486,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,7,6105073,10782395,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,8,5745744,60599082,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
EigenTriangle,9,6088686,56788376,,20,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,0,12718660,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,1,16772215,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,2,12293883,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,3,11070519,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,4,10182207,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,5,8780147,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,6,6877829,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,7,4478358,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,8,6541441,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
Spectral Count,9,2856978,9604843,,,data/wikipedia/squirrel/musae_squirrel_edges.csv
