alg_name,trial_num,runtime_mircosecs,result,gamma,max_iters,ds_path
EigenTriangle,3,4991316,18466,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,4,4292170,18658,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,5,5416382,17013,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,6,5342077,18176,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,7,4842218,17155,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,8,4333209,18805,,20,data/twitch/ENGB/musae_ENGB_edges.csv
EigenTriangle,9,3936007,18478,,20,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,0,4004114,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,1,12270925,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,2,14653296,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,3,11526828,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,4,4166868,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,5,2627512,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,6,7718600,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,7,5525694,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,8,6079343,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
Spectral Count,9,4667790,29266,,,data/twitch/ENGB/musae_ENGB_edges.csv
TraceTriangleR,0,860993,475727,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,1,903247,693847,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,2,577348,556676,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,3,508926,668443,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,4,596915,608128,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,5,729529,722393,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,6,632713,515475,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,7,562666,588809,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,8,617714,784634,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,9,648021,670525,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,0,711077,457796,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,1,749090,670219,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,2,610200,639354,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,3,418437,533335,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,4,514083,440143,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,5,452284,616255,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,6,482296,768975,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,7,586591,639305,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,8,649917,634508,1.0,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleN,9,506139,543997,1.0,,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,0,25245099,527597,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,1,16401453,527633,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,2,16132602,527442,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,3,12906990,527699,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,4,12418142,528035,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,5,10093415,527746,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,6,9800607,527919,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,7,8596962,527642,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,8,4347890,527745,,20,data/twitch/DE/musae_DE_edges.csv
EigenTriangle,9,4383468,527293,,20,data/twitch/DE/musae_DE_edges.csv
Spectral Count,0,12403046,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,1,17844828,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,2,9817100,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,3,13100435,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,4,8341757,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,5,10512846,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,6,10076196,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,7,6775820,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,8,8184719,603088,,,data/twitch/DE/musae_DE_edges.csv
Spectral Count,9,6723125,603088,,,data/twitch/DE/musae_DE_edges.csv
TraceTriangleR,0,521988,437225,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,1,522340,489381,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,2,337367,435233,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,3,473695,505190,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,4,306493,428344,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,5,184001,485006,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,6,438337,282518,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,7,543018,376640,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,8,617107,413222,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,9,430901,500586,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,0,466079,406525,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,1,338500,435499,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,2,308957,344905,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,3,286224,414218,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,4,321575,377584,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,5,380251,391252,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,6,328229,462512,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,7,403967,468317,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,8,506719,460413,1.0,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleN,9,509292,360388,1.0,,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,0,15392369,366268,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,1,11562870,366176,,20,data/twitch/FR/musae_FR_edges.csv
